family,i,j,name_i,name_j,len_i,len_j,gold,n_cells,sup_e_tp,sup_total_mass,baseline_e_tp,baseline_total_mass,opt_acc_e_tp,opt_acc_total_mass,mcmc_time_s
BB11001,0,1,2lef_A,1k99_A,86,91,29,7826,26.9035,80.69491666666667,26.227131366729736,75.74637937708195,29.0,83.0,2571.91397356987
BB11001,0,2,2lef_A,1j46_A,86,85,29,7310,28.87316666666667,82.37025,28.92146110534668,81.55776171338859,29.0,83.0,2639.9807438850403
BB11001,0,3,2lef_A,1aab_,86,83,29,7138,24.551249999999996,72.67583333333333,21.535085901618004,67.41571036555283,29.0,76.0,2385.367815732956
BB11001,1,2,1k99_A,1j46_A,91,85,29,7735,27.342083333333342,78.58975,26.87505641579628,77.05701462278711,29.0,78.0,2336.425549507141
BB11001,1,3,1k99_A,1aab_,91,83,29,7553,27.210333333333335,80.13741666666667,25.382096469402313,78.61065637924128,29.0,81.0,2463.644960165024
BB11001,2,3,1j46_A,1aab_,85,83,29,7055,12.366916666666663,75.29733333333333,11.340778721496463,73.60144968953115,10.0,76.0,2439.2567887306213
BB11013,0,1,1jhg_A,1hst_A,101,74,13,7474,0.0035,68.91608333333333,0.018859649968362646,59.17057372113728,0.0,70.0,3147.265123128891
BB11013,0,2,1jhg_A,1aoy_,101,78,13,7878,0.0029166666666666664,75.3725,0.20267811494341004,71.15542658675852,0.0,77.0,2901.5622823238373
BB11013,0,3,1jhg_A,1tc3_C,101,51,13,5151,0.1525,48.31516666666667,0.12179354991531,46.44988266948919,0.0,48.0,1626.409277677536
BB11013,0,4,1jhg_A,1idy_,101,54,13,5454,0.27908333333333335,52.96508333333333,0.18837655044626445,51.07707014835804,0.0,54.0,1732.7219319343567
BB11013,1,2,1hst_A,1aoy_,74,78,13,5772,1.1643333333333332,67.92841666666666,1.6995191983878613,59.67901323708926,0.0,69.0,2804.280385494232
BB11013,1,3,1hst_A,1tc3_C,74,51,13,3774,0.37816666666666665,49.54691666666667,0.3119176175678149,46.32514588369321,0.0,50.0,1679.4697301387787
BB11013,1,4,1hst_A,1idy_,74,54,13,3996,0.5335,52.207166666666666,0.6980607472360134,48.86483143502245,0.0,54.0,1850.5810532569885
BB11013,2,3,1aoy_,1tc3_C,78,51,13,3978,0.11966666666666667,49.66525,0.10013694185181521,47.21350642473143,0.0,51.0,1492.639615535736
BB11013,2,4,1aoy_,1idy_,78,54,13,4212,0.188,49.46966666666667,0.13550095725804567,46.407179246820476,0.0,51.0,1778.697028875351
BB11013,3,4,1tc3_C,1idy_,51,54,13,2754,7.739833333333333,49.40933333333333,7.366817336063832,48.09540941201094,8.0,50.0,1279.5965518951416
BB11021,0,1,1ov8_A,1kdi_,139,102,43,14178,29.00725,100.82108333333333,28.377395360701485,97.84281091395916,30.0,102.0,4000.1630911827087
BB11021,0,2,1ov8_A,1pmy_,139,123,43,17097,0.23433333333333334,118.16916666666667,14.469414045102894,89.19308135697324,0.0,121.0,8084.396717786789
BB11021,1,2,1kdi_,1pmy_,102,123,43,12546,20.717499999999998,92.78,25.16974541824311,83.83753837092638,15.0,99.0,3451.3262012004852
BB11029,0,1,1h31_B,1cno_A,139,86,25,11954,16.774333333333335,83.22483333333334,16.261168117634952,79.96399803378318,18.0,84.0,3526.9651741981506
BB11029,0,2,1h31_B,1a56_,139,81,25,11259,14.853250000000001,73.95516666666667,13.872685347683728,72.00069582834787,18.0,75.0,2585.719264268875
BB11029,1,2,1cno_A,1a56_,86,81,25,6966,16.342666666666663,74.73166666666665,16.43078438937664,71.30359499532128,18.0,77.0,2466.3461520671844
BB11035,0,1,1dvh_,1h31_B,79,139,31,10981,10.850416666666662,76.48008333333334,10.55339010595344,70.10602221086175,14.0,79.0,3632.9119250774384
BB11035,0,2,1dvh_,1b7v_A,79,71,31,5609,14.032666666666666,66.82383333333334,14.840221457183361,62.84728823561749,20.0,68.0,1911.689705133438
BB11035,0,3,1dvh_,1cno_A,79,85,31,6715,27.223250000000004,76.72466666666668,26.265593230724335,74.15809850474324,30.0,78.0,2437.8021354675293
BB11035,1,2,1h31_B,1b7v_A,139,71,31,9869,17.55575,70.35825,17.66715730726719,69.49938324843762,22.0,71.0,2368.5743174552917
BB11035,1,3,1h31_B,1cno_A,139,85,31,11815,11.321249999999996,83.27825,11.548610356636345,80.06126626069937,14.0,84.0,3626.184507369995
BB11035,2,3,1b7v_A,1cno_A,71,85,31,6035,11.497583333333335,67.31866666666667,10.517766067525372,63.531592663050084,14.0,68.0,2315.0535962581635
BB12014,0,1,1akh_A,1ftt_,49,68,37,3332,30.181750000000008,48.8725,30.41989168478176,48.75134920536052,31.0,49.0,1125.5414803028107
BB12014,0,2,1akh_A,1mnm_C,49,78,37,3822,26.67716666666667,48.684666666666665,26.85691364109516,48.26848977101767,31.0,49.0,1362.3369886875153
BB12014,0,3,1akh_A,1ftz_,49,70,37,3430,30.41708333333333,48.414166666666674,27.79027847852558,47.35015619148611,32.0,49.0,1230.5136499404907
BB12014,0,4,1akh_A,1bw5_,49,66,37,3234,21.011249999999993,48.159166666666664,19.189108215738088,46.52854559102822,20.0,49.0,1183.5299513339996
BB12014,0,5,1akh_A,1fjl_A,49,65,37,3185,31.591250000000002,48.73583333333333,31.74457961320877,48.35010036860324,31.0,49.0,1190.6767127513885
BB12014,1,2,1ftt_,1mnm_C,68,78,37,5304,34.61716666666666,58.541,34.700664430856705,57.78047963073837,36.0,59.0,1776.6035161018372
BB12014,1,3,1ftt_,1ftz_,68,70,37,4760,36.95591666666666,67.75833333333333,36.83535712957382,67.34821842017323,37.0,68.0,1935.9358398914337
BB12014,1,4,1ftt_,1bw5_,68,66,37,4488,36.826166666666666,64.58016666666666,35.31216448545456,63.06087206558507,37.0,65.0,1809.9684402942657
BB12014,1,5,1ftt_,1fjl_A,68,65,37,4420,36.94966666666668,64.88833333333334,36.844114542007446,64.56443725500536,37.0,65.0,1778.1321251392365
BB12014,2,3,1mnm_C,1ftz_,78,70,37,5460,29.28450000000001,58.89583333333333,25.679569885134697,56.791091361705526,36.0,60.0,1822.3469724655151
BB12014,2,4,1mnm_C,1bw5_,78,66,37,5148,32.722750000000005,59.38166666666666,32.458270490169525,58.22076079537649,36.0,60.0,1709.914223909378
